position,workId,canonicalTitle,blockerCode,blockerDetails,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,recheckPath,koreanQueries,japaneseEvidenceUrls
"11","work-c1304bfa319ba318368e","田中くんはいつもけだるげ","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 田中くんはいつもけだるげ; Rakuten product=https://books.rakuten.co.jp/rb/12689951/","https://www.honyaclub.com/shop/pages/osusume_comic2015.aspx?affiliate=osusumec","2015","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","다나카군은 언제나 나른해 만화 리뷰;다나카군와 이츠모 케다루게 리뷰","https://bookmeter.com/search?keyword=%E7%94%B0%E4%B8%AD%E3%81%8F%E3%82%93%E3%81%AF%E3%81%84%E3%81%A4%E3%82%82%E3%81%91%E3%81%A0%E3%82%8B%E3%81%92;https://reviewne.jp/contents?query=%E7%94%B0%E4%B8%AD%E3%81%8F%E3%82%93%E3%81%AF%E3%81%84%E3%81%A4%E3%82%82%E3%81%91%E3%81%A0%E3%82%8B%E3%81%92"
"12","work-c13afa217a833f90bc3c","手紙物語","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 手紙物語; Rakuten product=https://books.rakuten.co.jp/rb/12961555/","https://www.mangataisho.com/archives/2015.html","2015","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","편지 이야기 만화 리뷰;테가미 모노가타리 리뷰","https://bookmeter.com/search?keyword=%E6%89%8B%E7%B4%99%E7%89%A9%E8%AA%9E;https://reviewne.jp/contents?query=%E6%89%8B%E7%B4%99%E7%89%A9%E8%AA%9E"
"13","work-c24c7f023810516a931c","同級生","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 同級生; Rakuten product=https://books.rakuten.co.jp/rb/5415443/","https://www.mangataisho.com/archives/2009.html","2009","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","동급생 만화 리뷰;도큐세이 리뷰","https://bookmeter.com/search?keyword=%E5%90%8C%E7%B4%9A%E7%94%9F;https://reviewne.jp/contents?query=%E5%90%8C%E7%B4%9A%E7%94%9F"
"14","work-c2564ae48ae5e689ea66","バクマン。","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for バクマン。; Rakuten product=https://books.rakuten.co.jp/rb/5929336/","https://hon-hikidashi.jp/event/104773/","2010","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","바쿠만 만화 리뷰;바쿠만 리뷰","https://bookmeter.com/search?keyword=%E3%83%90%E3%82%AF%E3%83%9E%E3%83%B3%E3%80%82;https://reviewne.jp/contents?query=%E3%83%90%E3%82%AF%E3%83%9E%E3%83%B3%E3%80%82"
"15","work-c2d28d298730bdf6ee33","僕たちがやりました","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 僕たちがやりました; Rakuten product=https://books.rakuten.co.jp/rb/13346815/","https://tsugimanga.jp/winner/2016/comics","2016-02-04","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","우리들이 했습니다 만화 리뷰;보쿠타치가 야리마시타 리뷰","https://bookmeter.com/search?keyword=%E5%83%95%E3%81%9F%E3%81%A1%E3%81%8C%E3%82%84%E3%82%8A%E3%81%BE%E3%81%97%E3%81%9F;https://reviewne.jp/contents?query=%E5%83%95%E3%81%9F%E3%81%A1%E3%81%8C%E3%82%84%E3%82%8A%E3%81%BE%E3%81%97%E3%81%9F"
"16","work-c2e1a97976346530a420","魔力枯れのダークエルフ","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 魔力枯れのダークエルフ; Rakuten product=https://books.rakuten.co.jp/rb/18479739/","https://tsugimanga.jp/nominate/comics","2026-06-26","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","마력 고갈 다크 엘프 만화 리뷰;마료쿠 카레노 다쿠 엘프 리뷰","https://bookmeter.com/search?keyword=%E9%AD%94%E5%8A%9B%E6%9E%AF%E3%82%8C%E3%81%AE%E3%83%80%E3%83%BC%E3%82%AF%E3%82%A8%E3%83%AB%E3%83%95;https://reviewne.jp/contents?query=%E9%AD%94%E5%8A%9B%E6%9E%AF%E3%82%8C%E3%81%AE%E3%83%80%E3%83%BC%E3%82%AF%E3%82%A8%E3%83%AB%E3%83%95"
"17","work-c318fd52f1da01533910","間違った子を魔法少女にしてしまった","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 間違った子を魔法少女にしてしまった; Rakuten product=https://books.rakuten.co.jp/rb/14895421/","https://www.honyaclub.com/shop/pages/osusumecomic2018.aspx?affiliate=osusumec18","2018","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","잘못된 아이를 마법소녀로 만들어버렸다 만화 리뷰;마치갓타 코오 마호 쇼조니 시맛타 리뷰","https://bookmeter.com/search?keyword=%E9%96%93%E9%81%95%E3%81%A3%E3%81%9F%E5%AD%90%E3%82%92%E9%AD%94%E6%B3%95%E5%B0%91%E5%A5%B3%E3%81%AB%E3%81%97%E3%81%A6%E3%81%97%E3%81%BE%E3%81%A3%E3%81%9F;https://reviewne.jp/contents?query=%E9%96%93%E9%81%95%E3%81%A3%E3%81%9F%E5%AD%90%E3%82%92%E9%AD%94%E6%B3%95%E5%B0%91%E5%A5%B3%E3%81%AB%E3%81%97%E3%81%A6%E3%81%97%E3%81%BE%E3%81%A3%E3%81%9F"
"18","work-c327594a74d5eb536b5a","赤羽骨子のボディガード","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 赤羽骨子のボディガード; Rakuten product=https://books.rakuten.co.jp/rb/17331298/","https://tsugimanga.jp/winner/2023/comics","2023-08-31","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","아카바네 호네코의 보디가드 만화 리뷰;아카바네 호네코 리뷰","https://bookmeter.com/search?keyword=%E8%B5%A4%E7%BE%BD%E9%AA%A8%E5%AD%90%E3%81%AE%E3%83%9C%E3%83%87%E3%82%A3%E3%82%AC%E3%83%BC%E3%83%89;https://reviewne.jp/contents?query=%E8%B5%A4%E7%BE%BD%E9%AA%A8%E5%AD%90%E3%81%AE%E3%83%9C%E3%83%87%E3%82%A3%E3%82%AC%E3%83%BC%E3%83%89"
"19","work-c3396a2a9fa22ab73971","ぼくらの17-ON!","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for ぼくらの17-ON!; Rakuten product=https://books.rakuten.co.jp/rb/12326570/","https://www.mangataisho.com/archives/2015.html","2015","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","우리들의 17온 만화 리뷰;보쿠라노 세븐틴 온 리뷰","https://bookmeter.com/search?keyword=%E3%81%BC%E3%81%8F%E3%82%89%E3%81%AE17-ON!;https://reviewne.jp/contents?query=%E3%81%BC%E3%81%8F%E3%82%89%E3%81%AE17-ON!"
"20","work-c3b522b077189878e8ab","あまちんは自称♂","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for あまちんは自称♂; Rakuten product=https://books.rakuten.co.jp/rb/15182023/","https://tsugimanga.jp/winner/2018/comics","2018-08-23","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","아마친은 자칭 남자 만화 리뷰;아마친와 지쇼 오토코 리뷰","https://bookmeter.com/search?keyword=%E3%81%82%E3%81%BE%E3%81%A1%E3%82%93%E3%81%AF%E8%87%AA%E7%A7%B0%E2%99%82;https://reviewne.jp/contents?query=%E3%81%82%E3%81%BE%E3%81%A1%E3%82%93%E3%81%AF%E8%87%AA%E7%A7%B0%E2%99%82"
"21","work-c3d4d2e43bf3ecaf7f9a","神様がうそをつく。","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 神様がうそをつく。; Rakuten product=https://books.rakuten.co.jp/rb/12439730/","https://www.mangataisho.com/archives/2014.html","2014","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","신이 거짓말을 한다 만화 리뷰;카미사마가 우소오 츠쿠 리뷰","https://bookmeter.com/search?keyword=%E7%A5%9E%E6%A7%98%E3%81%8C%E3%81%86%E3%81%9D%E3%82%92%E3%81%A4%E3%81%8F%E3%80%82;https://reviewne.jp/contents?query=%E7%A5%9E%E6%A7%98%E3%81%8C%E3%81%86%E3%81%9D%E3%82%92%E3%81%A4%E3%81%8F%E3%80%82"
"22","work-c3fd0f24e8e29bf2f93a","だんドーン","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for だんドーン; Rakuten product=https://books.rakuten.co.jp/rb/17637681/","https://tsugimanga.jp/winner/2024/comics","2024-08-28","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","단돈 만화 리뷰;단돈 리뷰","https://bookmeter.com/search?keyword=%E3%81%A0%E3%82%93%E3%83%89%E3%83%BC%E3%83%B3;https://reviewne.jp/contents?query=%E3%81%A0%E3%82%93%E3%83%89%E3%83%BC%E3%83%B3"
"23","work-c480fbff0341ffcc2d17","しのびごと","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for しのびごと; Rakuten product=https://books.rakuten.co.jp/rb/18073405/","https://tsugimanga.jp/winner/2025/comics","2025-09-18","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-025\frozen-work-set.csv","시노비고토 만화 리뷰;시노비고토 리뷰","https://bookmeter.com/search?keyword=%E3%81%97%E3%81%AE%E3%81%B3%E3%81%94%E3%81%A8;https://reviewne.jp/contents?query=%E3%81%97%E3%81%AE%E3%81%B3%E3%81%94%E3%81%A8"
