position,workId,canonicalTitle,blockerCode,blockerDetails,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,recheckPath,koreanQueries,japaneseEvidenceUrls
11,work-b96dd032786014446952,"ランウェイで笑って",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search found only licensed/product or synopsis context but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","次にくるマンガ大賞2018 official selection — ランウェイで笑って","https://tsugimanga.jp/winner/2018/comics",2018-08-23,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/15039694/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""런웨이에서 웃어줘"" 만화 리뷰; ""런웨이에서 웃어 줘"" 리뷰","https://animelabo-2020.tokyo/?p=143;https://www.cmoa.jp/title/135885/;https://booklive.jp/review/list/title_id/60007252/vol_no/001"
12,work-ba0f61184218109003a3,"この愛は、異端。",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search found only licensed/product or synopsis context but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","次にくるマンガ大賞2018 official selection — この愛は、異端。","https://tsugimanga.jp/winner/2018/comics",2018-08-23,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/14892562/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""이 사랑은 이단"" 만화 리뷰; ""이 사랑은 이단이다"" 리뷰","https://booklive.jp/review/list/title_id/443097/vol_no/001;https://bookmeter.com/books/11698010;https://www.iiisibumi.com/entry/2018/03/18/194620"
13,work-bad930ace10caa55d7e2,"この音とまれ!",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search found only licensed/product or synopsis context but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","マンガ大賞2013 official archive — この音とまれ!","https://www.mangataisho.com/archives/2013.html",2013,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/11941877/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""이 소리에 모여"" 만화 리뷰; ""이 소리에 모여!"" 리뷰","https://ameblo.jp/rainmaker1007/entry-12678221727.html;https://vanilla-mocha.hateblo.jp/entry/2023/02/21/123000;https://ilikemanga.blog87.fc2.com/blog-entry-1793.html"
14,work-bb654a8f2166bed49f9a,"みどりのまきば",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search returned no qualifying independent community review but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","マンガ大賞2010 official archive — みどりのまきば","https://www.mangataisho.com/archives/2010.html",2010,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/6018190/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""미도리의 목장"" 만화 리뷰; ""미도리노 마키바"" 리뷰","https://www.mangataisho.com/archives/2010.html"
15,work-bc213d5c418d27ebcf2a,"妹は知っている",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search found only licensed/product or synopsis context but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","次にくるマンガ大賞2025 official selection — 妹は知っている","https://tsugimanga.jp/winner/2025/comics",2025-09-18,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/18083269/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""여동생은 알고 있다"" 만화 리뷰; ""동생은 알고 있다"" 리뷰","https://akikakeru.blog117.fc2.com/?tag=%E5%A6%B9%E3%81%AF%E7%9F%A5%E3%81%A3%E3%81%A6%E3%81%84%E3%82%8B;https://note.com/yuukimattari/n/n45868a38563d;https://note.com/dog_age_gururi/n/n34eb7da33c84"
16,work-bdcf8de5aebcef0e1ed5,"トリコ",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search found only licensed/product or synopsis context but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","マンガ大賞2009 official archive — トリコ","https://www.mangataisho.com/archives/2009.html",2009,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/5890615/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""토리코"" 만화 리뷰; ""토리코 1권"" 리뷰","https://plaza.rakuten.co.jp/restinpeace/diary/201011030000/;https://takaba1192.livedoor.blog/archives/2684111.html;https://www.manga-diary.com/entry/toriko01"
17,work-c0e989c7b8bb7447840b,"タケヲちゃん物怪録",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search returned no qualifying independent community review but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","マンガ大賞2013 official archive — タケヲちゃん物怪録","https://www.mangataisho.com/archives/2013.html",2013,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/11658553/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""타케오짱 모노노케록"" 만화 리뷰; ""타케오짱 물괴록"" 리뷰","https://booklive.jp/review/list/title_id/205471/vol_no/001;https://bookmeter.com/books/4732217;https://www.cmoa.jp/title/62787/"
18,work-c14e82937201df34495d,"ワンパンマン",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search found only licensed/product or synopsis context but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","本屋クラブ official bookseller selection — ワンパンマン","https://www.honyaclub.com/shop/pages/osusume.aspx",2013,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/12100271/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""원펀맨"" 만화 리뷰; ""원펀맨 1권"" 리뷰","https://blog.livedoor.jp/cry_out1005/archives/1040501754.html;https://bookworms.jp/book/B01FU3MY2S"
19,work-c3a1b26e0fc059b351ca,"キミと話がしたいのだ。",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search returned no qualifying independent community review but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","マンガ大賞2013 official archive — キミと話がしたいのだ。","https://www.mangataisho.com/archives/2013.html",2013,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/11605081/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""너와 이야기하고 싶어"" 만화 리뷰; ""키미와 하나시가 시타이노다"" 리뷰","https://bookmeter.com/books/4700695;https://honto.jp/ebook/pd-review_0625350863.html"
20,work-c6c0a2cca6e4cd0b1290,"Kiss×sis",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search returned no qualifying independent community review but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","マンガ大賞2008 official archive — Kiss×sis","https://www.mangataisho.com/archives/2008.html",2008,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/4489749/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""키스 시스"" 만화 리뷰; ""Kiss×sis 한국어 리뷰""","https://bookmeter.com/books/532154;https://booklive.jp/review/list/title_id/42360/vol_no/001"
21,work-c8483ec374a763860621,"雪解けとアガパンサス",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search returned no qualifying independent community review but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","次にくるマンガ大賞2023 official selection — 雪解けとアガパンサス","https://tsugimanga.jp/winner/2023/comics",2023-08-31,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/17419664/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""눈 녹음과 아가판서스"" 만화 리뷰; ""유키도케와 아가판서스"" 리뷰","https://antaressmangakanso.iiblog.jp/article/498721526.html;https://ameblo.jp/kinniku4021/entry-12795680992.html"
22,work-c8aef6141e1d61baa960,"鉄風",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search returned no qualifying independent community review but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","マンガ大賞2011 official archive — 鉄風","https://www.mangataisho.com/archives/2011.html",2011,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/6373950/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""철풍"" 일본 만화 리뷰; ""테푸"" 일본 만화 리뷰","https://ameblo.jp/mi2mo10/entry-10477069318.html"
23,work-cc2d5952736da056de67,"ママゴト",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search returned no qualifying independent community review but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","マンガ大賞2012 official archive — ママゴト","https://www.mangataisho.com/archives/2012.html",2012,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/11259034/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""마마고토"" 일본 만화 리뷰; ""소꿉놀이 마마고토"" 리뷰","https://www.kadokawa.co.jp/product/201104000382/;https://books.rakuten.co.jp/rb/11259034/?l-id=review-txt-book"
24,work-ccbb3649a83639ac4da6,"夏目アラタの結婚",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search found only licensed/product or synopsis context but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","次にくるマンガ大賞2020 official selection — 夏目アラタの結婚","https://tsugimanga.jp/winner/2020/comics",2020-08-19,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/16083174/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""나츠메 아라타의 결혼"" 만화 리뷰; ""나츠메 아라타 결혼"" 리뷰","https://booklive.jp/review/list/title_id/679490/vol_no/001;https://manga-game.com/aratakekkon-1-netabare/;https://www.cmoa.jp/title/186238/"
25,work-cd774412c9f29141af14,"主に泣いてます",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search returned no qualifying independent community review but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","マンガ大賞2011 official archive — 主に泣いてます","https://www.mangataisho.com/archives/2011.html",2011,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/6639670/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""주로 울고 있습니다"" 만화 리뷰; ""오모니 나이테마스"" 리뷰","https://omoshiro-hasshin.hatenablog.com/entry/2014/01/07/162351;https://osusumecomic.net/11695.html;https://nishimori-yu.hatenablog.com/entry/2018/01/06/123313"
26,work-cdea0de31a3f18475c62,"IPPO",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search found only licensed/product or synopsis context but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","マンガ大賞2013 official archive — IPPO","https://www.mangataisho.com/archives/2013.html",2013,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/12133028/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""잇포"" 만화 리뷰; ""IPPO 일본 만화 리뷰""","https://www.mangataisho.com/data/2013/comment2013.pdf"
27,work-ce5919ff30d9ef01e3e1,"大砲とスタンプ",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search returned no qualifying independent community review but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","マンガ大賞2013 official archive — 大砲とスタンプ","https://www.mangataisho.com/archives/2013.html",2013,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/11467803/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""대포와 스탬프"" 만화 리뷰; ""타이호와 스탬프"" 리뷰","https://manga-blog.net/guns-and-stamps/"
28,work-d02d7530d9eabb88ed8a,"野良猫と狼",SOURCE_INFORMATION_UNAVAILABLE,"Official + independent Japanese (JP) + Korean (KR) routes exhausted on 2026-08-26. Official award/product wording establishes identity and scope; bounded JP routes and KR title-variant search found only licensed/product or synopsis context but did not yield repeatable first-1-3-volume 0/2/4 support for all mandatory Genre/Theme/Axis groups. No new accepted numeric cells asserted. Art is optional. Confidence: high for blocker; source information remains insufficient for promotion.","次にくるマンガ大賞2024 official selection — 野良猫と狼","https://tsugimanga.jp/winner/2024/comics",2024-08-28,2026-08-26,"Recheck product: https://books.rakuten.co.jp/rb/16338478/; rerun official+independent JP+KR bounded review after two non-syndicated reviews covering volumes 1-3 provide repeatable mandatory Genre/Theme/Axis 0/2/4 anchors. Art is optional.","""길고양이와 늑대"" 만화 리뷰; ""노라네코와 오오카미"" 리뷰","https://www.cmoa.jp/title/customer_review/title_id/199898/;https://booklive.jp/review/list/title_id/20026274/vol_no/001;https://www.cmoa.jp/title/202400/"
