workId,targetType,targetId,priorState,priorValue,finalState,finalValue,finalConfidence,decision,precedenceSource,confidenceBasis
work-0262dcaa820443c3185d,axis,progression,known,0,known,0,0.82,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-01-followup-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-0262dcaa820443c3185d,axis,problemSolving,known,2,known,2,0.72,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-01-followup-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-0262dcaa820443c3185d,axis,strategy,known,2,known,2,0.68,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-01-followup-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-0262dcaa820443c3185d,axis,pacing,known,4,known,4,0.88,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-01-followup-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-0262dcaa820443c3185d,axis,mysteryReveal,unknown,,unknown,,,retained-unknown,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-01-followup-response.txt,Terminal review retained unknown; no numeric confidence is permitted.
work-0262dcaa820443c3185d,axis,worldBuilding,known,2,known,2,0.70,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-01-followup-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-0262dcaa820443c3185d,axis,characterArcWeight,known,0,known,0,0.70,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-01-followup-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-0262dcaa820443c3185d,axis,relationshipStructure,known,0,known,0,0.86,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-01-followup-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-0262dcaa820443c3185d,axis,comedy,known,0,known,0,0.80,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-01-followup-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-0262dcaa820443c3185d,axis,darkness,known,3,known,3,0.88,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-01-followup-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-0262dcaa820443c3185d,axis,mentalStress,known,1,known,1,0.72,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-01-followup-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-0262dcaa820443c3185d,axis,romance,known,0,known,0,0.84,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-01-followup-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-0262dcaa820443c3185d,axis,emotionalWarmth,known,0,known,0,0.82,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-01-followup-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-0262dcaa820443c3185d,genre,genres,known,action,known,action,,retained,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-01-followup-response.txt,Genre rows have no numeric-confidence field; the terminal review independently accepted the listed canonical enums.
work-0262dcaa820443c3185d,theme,combat,known,2,known,2,0.90,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-01-followup-response.txt,The terminal current-SHA review explicitly retained the same centrality and underlying entry evidence; Pass A confidence is preserved exactly.
work-0262dcaa820443c3185d,theme,politics,known,1,known,1,0.70,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-01-followup-response.txt,The terminal current-SHA review explicitly retained the same centrality and underlying entry evidence; Pass A confidence is preserved exactly.
work-0262dcaa820443c3185d,theme,workplace,known,2,known,2,0.88,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-01-followup-response.txt,The terminal current-SHA review explicitly retained the same centrality and underlying entry evidence; Pass A confidence is preserved exactly.
work-07b11ec79f10c7eb7e05,axis,progression,known,3,known,3,0.74,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/text-coverage-followup-g-review.md,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-07b11ec79f10c7eb7e05,axis,problemSolving,unknown,,unknown,,,retained-unknown,data/staging/catalog-expansion/pilots/pilot-001/reviews/text-coverage-followup-g-review.md,Terminal review retained unknown; no numeric confidence is permitted.
work-07b11ec79f10c7eb7e05,axis,strategy,unknown,,unknown,,,retained-unknown,data/staging/catalog-expansion/pilots/pilot-001/reviews/text-coverage-followup-g-review.md,Terminal review retained unknown; no numeric confidence is permitted.
work-07b11ec79f10c7eb7e05,axis,pacing,unknown,,known,3,0.84,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/text-coverage-followup-g-review.md,Exact 0.84 was adjudicated claim-by-claim: repeated official entry evidence directly supports the selected anchor; pacing=3 is traced to text-coverage-followup-g-review.md.
work-07b11ec79f10c7eb7e05,axis,mysteryReveal,unknown,,known,0,0.78,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/text-coverage-followup-g-review.md,Exact 0.78 was adjudicated claim-by-claim: limited but direct official evidence supports the conservative anchor; mysteryReveal=0 is traced to text-coverage-followup-g-review.md.
work-07b11ec79f10c7eb7e05,axis,worldBuilding,unknown,,known,2,0.80,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/text-coverage-followup-g-review.md,Exact 0.80 was adjudicated claim-by-claim: accepted official evidence supports the claim at moderate certainty with a stated boundary; worldBuilding=2 is traced to text-coverage-followup-g-review.md.
work-07b11ec79f10c7eb7e05,axis,characterArcWeight,known,4,known,4,0.86,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/text-coverage-followup-g-review.md,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-07b11ec79f10c7eb7e05,axis,relationshipStructure,known,2,known,2,0.76,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/text-coverage-followup-g-review.md,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-07b11ec79f10c7eb7e05,axis,comedy,known,2,known,3,0.88,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/text-coverage-followup-g-review.md,Exact 0.88 was adjudicated claim-by-claim: a complete official episode or several direct bounded units establish the claim; comedy=3 is traced to text-coverage-followup-g-review.md.
work-07b11ec79f10c7eb7e05,axis,darkness,unknown,,unknown,,,retained-unknown,data/staging/catalog-expansion/pilots/pilot-001/reviews/text-coverage-followup-g-review.md,Terminal review retained unknown; no numeric confidence is permitted.
work-07b11ec79f10c7eb7e05,axis,mentalStress,known,2,known,2,0.70,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/text-coverage-followup-g-review.md,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-07b11ec79f10c7eb7e05,axis,romance,unknown,,unknown,,,retained-unknown,data/staging/catalog-expansion/pilots/pilot-001/reviews/text-coverage-followup-g-review.md,Terminal review retained unknown; no numeric confidence is permitted.
work-07b11ec79f10c7eb7e05,axis,emotionalWarmth,known,3,known,3,0.72,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/text-coverage-followup-g-review.md,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-07b11ec79f10c7eb7e05,genre,genres,known,sliceOfLife,known,sliceOfLife,,retained,data/staging/catalog-expansion/pilots/pilot-001/reviews/text-coverage-followup-g-review.md,Genre rows have no numeric-confidence field; the terminal review independently accepted the listed canonical enums.
work-07b11ec79f10c7eb7e05,theme,school,known,2,known,2,0.88,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/text-coverage-followup-g-review.md,The terminal current-SHA review explicitly retained the same centrality and underlying entry evidence; Pass A confidence is preserved exactly.
work-07dc759bd91e1cffb2df,axis,progression,known,2,known,2,0.72,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-07dc759bd91e1cffb2df,axis,problemSolving,unknown,,known,1,0.78,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,Exact 0.78 was adjudicated claim-by-claim: limited but direct official evidence supports the conservative anchor; problemSolving=1 is traced to grok-current-chunk-05-response.txt.
work-07dc759bd91e1cffb2df,axis,strategy,unknown,,known,2,0.82,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,Exact 0.82 was adjudicated claim-by-claim: direct official bounded evidence supports the selected anchor; strategy=2 is traced to grok-current-chunk-05-response.txt.
work-07dc759bd91e1cffb2df,axis,pacing,unknown,,known,1,0.86,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,Exact 0.86 was adjudicated claim-by-claim: multiple official entry units strongly establish the claim while remaining entry-bounded; pacing=1 is traced to grok-current-chunk-05-response.txt.
work-07dc759bd91e1cffb2df,axis,mysteryReveal,unknown,,known,0,0.82,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,Exact 0.82 was adjudicated claim-by-claim: direct official bounded evidence supports the selected anchor; mysteryReveal=0 is traced to grok-current-chunk-05-response.txt.
work-07dc759bd91e1cffb2df,axis,worldBuilding,unknown,,known,0,0.78,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,Exact 0.78 was adjudicated claim-by-claim: limited but direct official evidence supports the conservative anchor; worldBuilding=0 is traced to grok-current-chunk-05-response.txt.
work-07dc759bd91e1cffb2df,axis,characterArcWeight,known,4,known,4,0.82,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-07dc759bd91e1cffb2df,axis,relationshipStructure,known,2,known,2,0.78,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-07dc759bd91e1cffb2df,axis,comedy,unknown,,known,2,0.80,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,Exact 0.80 was adjudicated claim-by-claim: accepted official evidence supports the claim at moderate certainty with a stated boundary; comedy=2 is traced to grok-current-chunk-05-response.txt.
work-07dc759bd91e1cffb2df,axis,darkness,unknown,,known,1,0.78,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,Exact 0.78 was adjudicated claim-by-claim: limited but direct official evidence supports the conservative anchor; darkness=1 is traced to grok-current-chunk-05-response.txt.
work-07dc759bd91e1cffb2df,axis,mentalStress,known,2,known,2,0.74,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-07dc759bd91e1cffb2df,axis,romance,unknown,,known,0,0.82,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,Exact 0.82 was adjudicated claim-by-claim: direct official bounded evidence supports the selected anchor; romance=0 is traced to grok-current-chunk-05-response.txt.
work-07dc759bd91e1cffb2df,axis,emotionalWarmth,known,3,known,4,0.88,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,Exact 0.88 was adjudicated claim-by-claim: a complete official episode or several direct bounded units establish the claim; emotionalWarmth=4 is traced to grok-current-chunk-05-response.txt.
work-07dc759bd91e1cffb2df,genre,genres,known,sliceOfLife,known,sliceOfLife,,retained,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,Genre rows have no numeric-confidence field; the terminal review independently accepted the listed canonical enums.
work-07dc759bd91e1cffb2df,theme,cooking,known,1,known,1,0.66,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,The terminal current-SHA review explicitly retained the same centrality and underlying entry evidence; Pass A confidence is preserved exactly.
work-07dc759bd91e1cffb2df,theme,workplace,known,1,known,1,0.76,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,The terminal current-SHA review explicitly retained the same centrality and underlying entry evidence; Pass A confidence is preserved exactly.
work-07ff2a01ef593ce2f809,axis,progression,unknown,,unknown,,,retained-unknown,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-04-response.txt,Terminal review retained unknown; no numeric confidence is permitted.
work-07ff2a01ef593ce2f809,axis,problemSolving,unknown,,unknown,,,retained-unknown,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-04-response.txt,Terminal review retained unknown; no numeric confidence is permitted.
work-07ff2a01ef593ce2f809,axis,strategy,unknown,,known,0,0.88,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-04-response.txt,Exact 0.88 was adjudicated claim-by-claim: a complete official episode or several direct bounded units establish the claim; strategy=0 is traced to grok-current-chunk-04-response.txt.
work-07ff2a01ef593ce2f809,axis,pacing,unknown,,known,3,0.84,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-04-response.txt,Exact 0.84 was adjudicated claim-by-claim: repeated official entry evidence directly supports the selected anchor; pacing=3 is traced to grok-current-chunk-04-response.txt.
work-07ff2a01ef593ce2f809,axis,mysteryReveal,known,2,known,2,0.8,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-04-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-07ff2a01ef593ce2f809,axis,worldBuilding,unknown,,known,1,0.76,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-04-response.txt,Exact 0.76 was adjudicated claim-by-claim: a subordinate or single bounded official observation supports the low/intermediate anchor; worldBuilding=1 is traced to grok-current-chunk-04-response.txt.
work-07ff2a01ef593ce2f809,axis,characterArcWeight,known,4,known,4,0.9,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-04-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-07ff2a01ef593ce2f809,axis,relationshipStructure,known,2,known,2,0.8,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-04-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-07ff2a01ef593ce2f809,axis,comedy,unknown,,known,1,0.74,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-04-response.txt,Exact 0.74 was adjudicated claim-by-claim: one cautious bounded observation supports the low anchor and no broader claim; comedy=1 is traced to grok-current-chunk-04-response.txt.
work-07ff2a01ef593ce2f809,axis,darkness,known,3,known,3,0.8,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-04-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-07ff2a01ef593ce2f809,axis,mentalStress,known,4,known,4,0.85,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-04-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-07ff2a01ef593ce2f809,axis,romance,unknown,,unknown,,,retained-unknown,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-04-response.txt,Terminal review retained unknown; no numeric confidence is permitted.
work-07ff2a01ef593ce2f809,axis,emotionalWarmth,unknown,,unknown,,,retained-unknown,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-04-response.txt,Terminal review retained unknown; no numeric confidence is permitted.
work-07ff2a01ef593ce2f809,genre,genres,known,mystery,known,mystery,,retained,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-04-response.txt,Genre rows have no numeric-confidence field; the terminal review independently accepted the listed canonical enums.
work-07ff2a01ef593ce2f809,theme,school,known,2,known,2,0.9,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-04-response.txt,The terminal current-SHA review explicitly retained the same centrality and underlying entry evidence; Pass A confidence is preserved exactly.
work-081e75d8bbc53ac64713,axis,progression,unknown,,known,0,0.88,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,Exact 0.88 was adjudicated claim-by-claim: a complete official episode or several direct bounded units establish the claim; progression=0 is traced to grok-current-chunk-05-response.txt.
work-081e75d8bbc53ac64713,axis,problemSolving,unknown,,known,0,0.88,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,Exact 0.88 was adjudicated claim-by-claim: a complete official episode or several direct bounded units establish the claim; problemSolving=0 is traced to grok-current-chunk-05-response.txt.
work-081e75d8bbc53ac64713,axis,strategy,unknown,,known,0,0.88,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,Exact 0.88 was adjudicated claim-by-claim: a complete official episode or several direct bounded units establish the claim; strategy=0 is traced to grok-current-chunk-05-response.txt.
work-081e75d8bbc53ac64713,axis,pacing,unknown,,known,4,0.88,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,Exact 0.88 was adjudicated claim-by-claim: a complete official episode or several direct bounded units establish the claim; pacing=4 is traced to grok-current-chunk-05-response.txt.
work-081e75d8bbc53ac64713,axis,mysteryReveal,unknown,,known,0,0.88,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,Exact 0.88 was adjudicated claim-by-claim: a complete official episode or several direct bounded units establish the claim; mysteryReveal=0 is traced to grok-current-chunk-05-response.txt.
work-081e75d8bbc53ac64713,axis,worldBuilding,unknown,,known,2,0.82,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,Exact 0.82 was adjudicated claim-by-claim: direct official bounded evidence supports the selected anchor; worldBuilding=2 is traced to grok-current-chunk-05-response.txt.
work-081e75d8bbc53ac64713,axis,characterArcWeight,known,4,known,4,0.88,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-081e75d8bbc53ac64713,axis,relationshipStructure,known,3,known,3,0.82,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-081e75d8bbc53ac64713,axis,comedy,unknown,,unknown,,,retained-unknown,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,Terminal review retained unknown; no numeric confidence is permitted.
work-081e75d8bbc53ac64713,axis,darkness,unknown,,known,2,0.78,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,Exact 0.78 was adjudicated claim-by-claim: limited but direct official evidence supports the conservative anchor; darkness=2 is traced to grok-current-chunk-05-response.txt.
work-081e75d8bbc53ac64713,axis,mentalStress,known,4,known,4,0.88,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,"The terminal current-SHA review explicitly retained the same state, value, and underlying entry evidence; Pass A confidence is preserved exactly."
work-081e75d8bbc53ac64713,axis,romance,unknown,,unknown,,,retained-unknown,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,Terminal review retained unknown; no numeric confidence is permitted.
work-081e75d8bbc53ac64713,axis,emotionalWarmth,unknown,,known,1,0.74,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,Exact 0.74 was adjudicated claim-by-claim: one cautious bounded observation supports the low anchor and no broader claim; emotionalWarmth=1 is traced to grok-current-chunk-05-response.txt.
work-081e75d8bbc53ac64713,genre,genres,known,sports,known,sports,,retained,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,Genre rows have no numeric-confidence field; the terminal review independently accepted the listed canonical enums.
work-081e75d8bbc53ac64713,theme,sportsCompetition,known,2,known,2,0.94,retained-pass-a,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-05-response.txt,The terminal current-SHA review explicitly retained the same centrality and underlying entry evidence; Pass A confidence is preserved exactly.
work-0bec5d8d9474a2197312,axis,progression,unknown,,unknown,,,retained-unknown,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-02-followup-response.txt,Terminal review retained unknown; no numeric confidence is permitted.
work-0bec5d8d9474a2197312,axis,problemSolving,unknown,,known,0,0.86,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-02-followup-response.txt,Exact 0.86 was adjudicated claim-by-claim: multiple official entry units strongly establish the claim while remaining entry-bounded; problemSolving=0 is traced to grok-current-chunk-02-followup-response.txt.
work-0bec5d8d9474a2197312,axis,strategy,unknown,,known,0,0.86,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-02-followup-response.txt,Exact 0.86 was adjudicated claim-by-claim: multiple official entry units strongly establish the claim while remaining entry-bounded; strategy=0 is traced to grok-current-chunk-02-followup-response.txt.
work-0bec5d8d9474a2197312,axis,pacing,unknown,,known,2,0.82,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-02-followup-response.txt,Exact 0.82 was adjudicated claim-by-claim: direct official bounded evidence supports the selected anchor; pacing=2 is traced to grok-current-chunk-02-followup-response.txt.
work-0bec5d8d9474a2197312,axis,mysteryReveal,unknown,,known,0,0.86,adjudicated-current,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-02-followup-response.txt,Exact 0.86 was adjudicated claim-by-claim: multiple official entry units strongly establish the claim while remaining entry-bounded; mysteryReveal=0 is traced to grok-current-chunk-02-followup-response.txt.
work-0bec5d8d9474a2197312,axis,worldBuilding,unknown,,unknown,,,retained-unknown,data/staging/catalog-expansion/pilots/pilot-001/reviews/grok-current-chunk-02-followup-response.txt,Terminal review retained unknown; no numeric confidence is permitted.
