workId,axisId,state,value,confidence,confidenceDecision,evidenceFiles,editionOrScopeLimitation
work-98d513b70560f2f96a38,visualSoftness,known,0,0.94,"0.94 claim-level confidence: Local, Gemini, and Pass C agree that hard contours, heavy blacks, and jagged hatching clearly reach rough/angular 0. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/local-codex-blind-freeze.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/hyoryu-gemini-counted-stdout.json;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/pass-c-adjudication.md,"Six entry pages from an official bunko alternate edition rather than the frozen standard ISBN; confidence covers broad line and panel traits, not print-identical reproduction"
work-98d513b70560f2f96a38,motionImpact,known,4,0.89,"0.89 claim-level confidence: Pass C verified a bounded domestic table-pull and falling-object sequence with aftermath, plus corroborating catastrophe rendering; factual Gemini knife language was discarded before accepting 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/local-codex-blind-freeze.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/hyoryu-gemini-counted-stdout.json;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/pass-c-adjudication.md,"Six entry pages from an official bunko alternate edition rather than the frozen standard ISBN; confidence covers broad line and panel traits, not print-identical reproduction"
work-f50fa290eb4116a7078e,artRealism,known,2,0.86,"0.86 claim-level confidence: Pass C corrected Local 3 to 2 because elongated figures and lyrical facial simplification dominate despite controlled perspective and body staging. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/local-codex-blind-freeze.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/eleven-gemini-counted-stdout.json;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/pass-c-adjudication.md,Six pages are confined to the original story opening within an official single volume that also contains sequel material; motion initiation is outside the packet
work-f50fa290eb4116a7078e,artDensity,known,3,0.87,"0.87 claim-level confidence: Local and Gemini agree that pod geometry, machinery, starfields, and group blocking exceed balanced 2 while briefing panels prevent sustained 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/local-codex-blind-freeze.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/eleven-gemini-counted-stdout.json;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/pass-c-adjudication.md,Six pages are confined to the original story opening within an official single volume that also contains sequel material; motion initiation is outside the packet
work-f50fa290eb4116a7078e,visualSoftness,known,3,0.86,"0.86 claim-level confidence: Local and Gemini agree that fine curves, flowing hair, washes, and rounded structures lie between neutral 2 and maximum softness 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/local-codex-blind-freeze.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/eleven-gemini-counted-stdout.json;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/pass-c-adjudication.md,Six pages are confined to the original story opening within an official single volume that also contains sequel material; motion initiation is outside the packet
work-f50fa290eb4116a7078e,motionImpact,unknown,,,No numeric confidence: The zero-gravity packet begins with candidates already in flight and omits initiation of that same movement; the strict start-development-end gate therefore closes motion as unknown. The frozen state remains unknown; unknown is not value 0.,data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/local-codex-blind-freeze.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/eleven-gemini-counted-stdout.json;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/pass-c-adjudication.md,Six pages are confined to the original story opening within an official single volume that also contains sequel material; motion initiation is outside the packet
work-a089c0eef91d1213da38,artRealism,known,1,0.90,"0.90 claim-level confidence: Local and Gemini agree that elastic bodies, caricature faces, and slapstick deformation place realism between strong simplification 0 and ordinary stylization 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/local-codex-blind-freeze.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/urusei-gemini-counted-stdout.json;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/pass-c-adjudication.md,Six debut-story pages from an official new edition rather than the frozen standard ISBN; restoration and reproduction details may be edition-specific
work-a089c0eef91d1213da38,artDensity,known,2,0.82,"0.82 claim-level confidence: Pass C resolved Local 3 versus Gemini 1 at balanced 2 because blank comedy fields coexist with crowded stadiums, architecture, many panels, SFX, and full speed-line fields. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/local-codex-blind-freeze.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/urusei-gemini-counted-stdout.json;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/pass-c-adjudication.md,Six debut-story pages from an official new edition rather than the frozen standard ISBN; restoration and reproduction details may be edition-specific
work-a089c0eef91d1213da38,visualSoftness,known,2,0.86,"0.86 claim-level confidence: Local and Gemini agree that rounded clean contours are neutral rather than rough or delicately ornamental. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/local-codex-blind-freeze.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/urusei-gemini-counted-stdout.json;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/pass-c-adjudication.md,Six debut-story pages from an official new edition rather than the frozen standard ISBN; restoration and reproduction details may be edition-specific
work-a089c0eef91d1213da38,motionImpact,known,4,0.91,"0.91 claim-level confidence: Pass C independently verified the exact pp.14-15 sprint, airborne dodge, landing, and skid endpoint; full-page diagonals and radiating lines support strong motion 4 despite Gemini's lower intensity reading. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/local-codex-blind-freeze.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/urusei-gemini-counted-stdout.json;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/pass-c-adjudication.md,Six debut-story pages from an official new edition rather than the frozen standard ISBN; restoration and reproduction details may be edition-specific
work-671e3453cf9e1df2ee87,artRealism,known,2,0.90,"0.90 claim-level confidence: Local and Gemini agree across twelve pages that grounded period space and bodies coexist with sustained Tezuka facial caricature, directly fitting general stylization 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-hidamari-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-hidamari-salvage-response.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-hidamari-pass-c-adjudication.md,"Twelve pages from canonical digital volume 1 chapter 1; the rights-holder link proves entry content, but the opaque Kobo token is not cross-walked to the frozen physical ISBN"
work-671e3453cf9e1df2ee87,artDensity,known,3,0.84,"0.84 claim-level confidence: Independent Pass C resolved Local 3 versus Gemini 4: map and roofscape peaks reach 4, but open dialogue and action fields make the sustained packet an intermediate 3. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-hidamari-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-hidamari-salvage-response.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-hidamari-pass-c-adjudication.md,"Twelve pages from canonical digital volume 1 chapter 1; the rights-holder link proves entry content, but the opaque Kobo token is not cross-walked to the frozen physical ISBN"
work-671e3453cf9e1df2ee87,visualSoftness,known,2,0.88,"0.88 claim-level confidence: Local and Gemini agree that rounded faces are offset by firm contours, hatching, black masses, and hard action marks, supporting neutral 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-hidamari-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-hidamari-salvage-response.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-hidamari-pass-c-adjudication.md,"Twelve pages from canonical digital volume 1 chapter 1; the rights-holder link proves entry content, but the opaque Kobo token is not cross-walked to the frozen physical ISBN"
work-671e3453cf9e1df2ee87,motionImpact,known,4,0.91,"0.91 claim-level confidence: Local and Gemini agree on printed pp.26-29; draw, attack development, diagonal airborne strike, shattered wood, and a confirmed scene boundary directly support strong motion 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-hidamari-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-hidamari-salvage-response.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-hidamari-pass-c-adjudication.md,"Twelve pages from canonical digital volume 1 chapter 1; the rights-holder link proves entry content, but the opaque Kobo token is not cross-walked to the frozen physical ISBN"
work-14e489bf1afd1587c44a,artRealism,known,3,0.83,"0.83 claim-level confidence: Local, Gemini, and Pass C agree that natural anatomy and city, dojo, and street perspective sit above ordinary stylization while comic faces keep realism below 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/local-codex-blind-freeze.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/yawara-gemini-counted-stdout.json;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/pass-c-adjudication.md,"Six pages from a complete-edition digital re-edit with additions, corrections, and color restoration; claims do not assert identical paper reproduction, and the motion claim is one restrained gate mechanism"
work-14e489bf1afd1587c44a,artDensity,known,2,0.84,"0.84 claim-level confidence: Local, Gemini, and Pass C agree that selective architecture and screentone balance substantial negative space at density 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/local-codex-blind-freeze.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/yawara-gemini-counted-stdout.json;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/pass-c-adjudication.md,"Six pages from a complete-edition digital re-edit with additions, corrections, and color restoration; claims do not assert identical paper reproduction, and the motion claim is one restrained gate mechanism"
work-14e489bf1afd1587c44a,visualSoftness,known,2,0.82,"0.82 claim-level confidence: Local, Gemini, and Pass C agree that controlled rounded contours and smooth tones are neutral; mixed color-restored and monochrome pages bound confidence. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/local-codex-blind-freeze.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/yawara-gemini-counted-stdout.json;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/pass-c-adjudication.md,"Six pages from a complete-edition digital re-edit with additions, corrections, and color restoration; claims do not assert identical paper reproduction, and the motion claim is one restrained gate mechanism"
work-14e489bf1afd1587c44a,motionImpact,known,1,0.72,"0.72 claim-level confidence: Pass C found a complete chain-pull and gate-opening start, movement, and open-door endpoint at printed p.16, but the restrained mechanical action is subtle and Gemini did not accept the gate; known 1 therefore has the lowest known confidence. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/local-codex-blind-freeze.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/yawara-gemini-counted-stdout.json;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-salvage-four/pass-c-adjudication.md,"Six pages from a complete-edition digital re-edit with additions, corrections, and color restoration; claims do not assert identical paper reproduction, and the motion claim is one restrained gate mechanism"
work-ad2b80b81b7bc9b602a3,artRealism,known,2,0.89,"0.89 claim-level confidence: Two independent pixel reviews agree that proportionate figures and domestic and school settings retain clear shojo stylization at realism 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-remaining.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-dandadan-papa-ooku-response.txt,"Exact official volume-1 reader, six pages and three early contexts; no qualifying action passage was present"
work-ad2b80b81b7bc9b602a3,artDensity,known,2,0.87,"0.87 claim-level confidence: Two reviewers agree that multi-panel staging, selective rooms and streets, restrained tone, and open space produce balanced density 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-remaining.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-dandadan-papa-ooku-response.txt,"Exact official volume-1 reader, six pages and three early contexts; no qualifying action passage was present"
work-ad2b80b81b7bc9b602a3,visualSoftness,known,4,0.92,"0.92 claim-level confidence: Two reviewers agree that fine contours, delicate hair and eyes, rounded expressions, and light tone consistently reach softness 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-remaining.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-dandadan-papa-ooku-response.txt,"Exact official volume-1 reader, six pages and three early contexts; no qualifying action passage was present"
work-ad2b80b81b7bc9b602a3,motionImpact,unknown,,,"No numeric confidence: The six sampled pages contain ordinary gestures, walking, and transit but no exact bounded dynamic sequence; motion is explicitly closed unknown. The frozen state remains unknown; unknown is not value 0.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-remaining.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-dandadan-papa-ooku-response.txt,"Exact official volume-1 reader, six pages and three early contexts; no qualifying action passage was present"
work-39555fe7402dada0d79f,artRealism,known,2,0.90,"0.90 claim-level confidence: Local and Gemini agree that grounded bodies and architecture retain standard shonen facial stylization, directly supporting realism 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official opening pages across three contexts; motion confidence is bounded to one exact high-impact roller-coaster sequence
work-39555fe7402dada0d79f,artDensity,known,3,0.84,"0.84 claim-level confidence: Pass C resolved 3 versus 2 from sustained panels, architecture, street and vehicle detail, screentone, and action-line information, with white areas preventing 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official opening pages across three contexts; motion confidence is bounded to one exact high-impact roller-coaster sequence
work-39555fe7402dada0d79f,visualSoftness,known,1,0.83,"0.83 claim-level confidence: Pass C resolved 1 versus 2 because angular faces, spiky hair, hard blacks, and jagged impact marks recur across all contexts without reaching fully rough 0. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official opening pages across three contexts; motion confidence is bounded to one exact high-impact roller-coaster sequence
work-39555fe7402dada0d79f,motionImpact,known,4,0.86,"0.86 claim-level confidence: Pass C inspected the exact printed pp.17-18 roller-coaster impact and immediate stop and reaction endpoint; the huge black burst and speed field support 4 despite the initial Gemini unknown closure. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six official opening pages across three contexts; motion confidence is bounded to one exact high-impact roller-coaster sequence
work-4a8a22fc766bf9bc4c59,artRealism,known,2,0.87,"0.87 claim-level confidence: Local and Gemini agree that slender figures, large eyes, and simplified faces over credible modern settings fit ordinary stylization 2. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-02-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six volume-1 prologue pages show modern Tokyo before the later historical setting; no qualifying motion sequence is sampled
work-4a8a22fc766bf9bc4c59,artDensity,known,2,0.84,"0.84 claim-level confidence: Both reviews support balanced density: decorative floral and hatching peaks alternate with clean school and dialogue fields. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-02-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six volume-1 prologue pages show modern Tokyo before the later historical setting; no qualifying motion sequence is sampled
work-4a8a22fc766bf9bc4c59,visualSoftness,known,4,0.86,"0.86 claim-level confidence: Pass C resolved Local 3 to Gemini 4 because flowing hair, delicate eyes, floral surrounds, thin contours, and soft steam and water tone dominate every sampled context. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-02-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six volume-1 prologue pages show modern Tokyo before the later historical setting; no qualifying motion sequence is sampled
work-4a8a22fc766bf9bc4c59,motionImpact,unknown,,,"No numeric confidence: Romance, school dialogue, and supernatural emergence do not form a complete physical action passage; motion is terminally unknown. The frozen state remains unknown; unknown is not value 0.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-02-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,Six volume-1 prologue pages show modern Tokyo before the later historical setting; no qualifying motion sequence is sampled
work-0bec5d8d9474a2197312,artRealism,known,2,0.84,"0.84 claim-level confidence: Independent Pass C resolved Local 1 versus Gemini 2 at 2 because bodies and ordinary spaces retain coherent proportions despite enlarged eyes and simplified faces. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-hourou-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-hourou-salvage-response.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-hourou-pass-c-adjudication.md,"Twelve pages across official electronic volumes 1-3; work and numbered-volume mapping is verified, but byte-identical equivalence to the paper ISBN is not asserted"
work-0bec5d8d9474a2197312,artDensity,known,1,0.82,"0.82 claim-level confidence: Pass C resolved 1 versus 2 at 1: white and flat-tone fields and omitted settings recur across twelve pages, while selected school, home, cafe, and building geometry keep the packet above sparse 0. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-hourou-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-hourou-salvage-response.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-hourou-pass-c-adjudication.md,"Twelve pages across official electronic volumes 1-3; work and numbered-volume mapping is verified, but byte-identical equivalence to the paper ISBN is not asserted"
work-0bec5d8d9474a2197312,visualSoftness,known,4,0.92,"0.92 claim-level confidence: Local, Gemini, and Pass C agree that thin rounded contours, light tones, gentle hair and clothing curves, and little rough mark-making reach softness 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-hourou-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-hourou-salvage-response.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-hourou-pass-c-adjudication.md,"Twelve pages across official electronic volumes 1-3; work and numbered-volume mapping is verified, but byte-identical equivalence to the paper ISBN is not asserted"
work-0bec5d8d9474a2197312,motionImpact,unknown,,,No numeric confidence: No supplied interval shows one action from start through impact to endpoint; the bicycle collision appears only as aftermath and motion closes unknown. The frozen state remains unknown; unknown is not value 0.,data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-hourou-salvage.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-hourou-salvage-response.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-hourou-pass-c-adjudication.md,"Twelve pages across official electronic volumes 1-3; work and numbered-volume mapping is verified, but byte-identical equivalence to the paper ISBN is not asserted"
work-1cf7a0bb5f55e0d69b27,artRealism,known,3,0.84,"0.84 claim-level confidence: Pass C resolved Local 3 versus Gemini 2 at 3 because stable anatomy and mechanically credible boats, sports gear, motorcycles, and cars repeatedly exceed ordinary stylization. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Six early chapter-1 pages across racing, baseball, and parking contexts; the motion claim is bounded to the exact baseball pair"
work-1cf7a0bb5f55e0d69b27,artDensity,known,3,0.84,"0.84 claim-level confidence: Pass C resolved 3 versus 2 from repeated sports choreography, infrastructure, vehicles, and motion texture while the opening spread prevents 4. This is scoped evidence confidence, not a whole-series probability.",data/staging/catalog-expansion/pilots/pilot-001/reviews/art-local-ecomi-audit.md;data/staging/catalog-expansion/pilots/pilot-001/reviews/gemini-art-pass-c-ecomi-group-01-response.txt;data/staging/catalog-expansion/pilots/pilot-001/reviews/art-pass-c-adjudication.md,"Six early chapter-1 pages across racing, baseball, and parking contexts; the motion claim is bounded to the exact baseball pair"
