id,workId,targetType,targetId,sourceType,sourceUrl,fetchedAt,extractorVersion,reviewedByHuman,confidence,notes
ev-g2-reuse-art-sheetas-little-big-world,sheetas-little-big-world,work,sheetas-little-big-world,manual,https://kodansha.us/series/sheetas-little-big-world/,2026-08-12T13:03:32+09:00,g2-reuse-eight-art-v1,false,0.82,Publisher-authorized licensed Volume 1 interior preview inspected at exact reader references recorded in art-evidence-manifest.csv; model observation pending panel or human review.
ev-g2-reuse-bib-fairy-tail,fairy-tail,work,fairy-tail,publisher,https://www.kodansha.co.jp/comic/products/0000012163,2026-08-12T13:03:32+09:00,manual-web-v1,false,0.99,Official Kodansha title or volume metadata checked; entry volumes: 0000012163; 0000012174; 0000012201. No admission review implied.
blind-replacement-v1-reconciled-fairy-tail,fairy-tail,work,fairy-tail,model,https://kodansha.us/series/fairy-tail/,2026-08-11T10:51:59+09:00,blind-replacement-v1-reconciled,false,0.85,"Frozen G1 replacement blind outputs reconciled across model runs; supplies 13 non-Art axes, genres, and themes; no human review."
ev-g2-reuse-art-fairy-tail,fairy-tail,work,fairy-tail,manual,https://kodansha.us/series/fairy-tail/,2026-08-12T13:03:32+09:00,g2-reuse-eight-art-v1,false,0.82,Publisher-authorized licensed Volume 1 interior preview inspected at exact reader references recorded in art-evidence-manifest.csv; model observation pending panel or human review.
ev-g2-reuse-bib-fire-force,fire-force,work,fire-force,publisher,https://www.kodansha.co.jp/titles/1000026722,2026-08-12T13:03:32+09:00,manual-web-v1,false,0.99,Official Kodansha title or volume metadata checked; entry volumes: 0000019629; 0000019707; 0000019759. No admission review implied.
blind-replacement-v1-reconciled-fire-force,fire-force,work,fire-force,model,https://kodansha.us/series/fire-force/,2026-08-11T10:51:59+09:00,blind-replacement-v1-reconciled,false,0.85,"Frozen G1 replacement blind outputs reconciled across model runs; supplies 13 non-Art axes, genres, and themes; no human review."
ev-g2-reuse-art-fire-force,fire-force,work,fire-force,manual,https://kodansha.us/series/fire-force/,2026-08-12T13:03:32+09:00,g2-reuse-eight-art-v1,false,0.82,Publisher-authorized licensed Volume 1 interior preview inspected at exact reader references recorded in art-evidence-manifest.csv; model observation pending panel or human review.
ev-g2-reuse-bib-the-seven-deadly-sins,the-seven-deadly-sins,work,the-seven-deadly-sins,publisher,https://www.kodansha.co.jp/comic/products/0000017583,2026-08-12T13:03:32+09:00,manual-web-v1,false,0.99,Official Kodansha title or volume metadata checked; entry volumes: 0000017583; 0000017633; 0000017665. No admission review implied.
blind-replacement-v1-reconciled-the-seven-deadly-sins,the-seven-deadly-sins,work,the-seven-deadly-sins,model,https://kodansha.us/series/the-seven-deadly-sins/,2026-08-11T10:51:59+09:00,blind-replacement-v1-reconciled,false,0.85,"Frozen G1 replacement blind outputs reconciled across model runs; supplies 13 non-Art axes, genres, and themes; no human review."
ev-g2-reuse-art-the-seven-deadly-sins,the-seven-deadly-sins,work,the-seven-deadly-sins,manual,https://kodansha.us/series/the-seven-deadly-sins/,2026-08-12T13:03:32+09:00,g2-reuse-eight-art-v1,false,0.82,Publisher-authorized licensed Volume 1 interior preview inspected at exact reader references recorded in art-evidence-manifest.csv; model observation pending panel or human review.
ev-g2-reuse-bib-tokyo-revengers,tokyo-revengers,work,tokyo-revengers,publisher,https://www.kodansha.co.jp/titles/1000029348,2026-08-12T13:03:32+09:00,manual-web-v1,false,0.99,Official Kodansha title or volume metadata checked; entry volumes: 0000019996; 0000022888; 0000023042. No admission review implied.
blind-replacement-v1-reconciled-tokyo-revengers,tokyo-revengers,work,tokyo-revengers,model,https://kodansha.us/series/tokyo-revengers/,2026-08-11T10:51:59+09:00,blind-replacement-v1-reconciled,false,0.85,"Frozen G1 replacement blind outputs reconciled across model runs; supplies 13 non-Art axes, genres, and themes; no human review."
ev-g2-reuse-art-tokyo-revengers,tokyo-revengers,work,tokyo-revengers,manual,https://kodansha.us/series/tokyo-revengers/,2026-08-12T13:03:32+09:00,g2-reuse-eight-art-v1,false,0.82,Publisher-authorized licensed Volume 1 interior preview inspected at exact reader references recorded in art-evidence-manifest.csv; model observation pending panel or human review.
