position,workId,canonicalTitle,blockerCode,blockerDetails,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,recheckPath,koreanQueries,japaneseEvidenceUrls
"16","work-36ac9ec97c1b862d89be","デッドマウント・デスプレイ","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (デッドマウント・デスプレイ)","https://tsugimanga.jp/winner/2019/comics","2019","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","데드 마운트 데스 플레이 만화 리뷰;데드마운트 데스플레이 리뷰","https://bookmeter.com/search?keyword=%E3%83%87%E3%83%83%E3%83%89%E3%83%9E%E3%82%A6%E3%83%B3%E3%83%88%E3%83%BB%E3%83%87%E3%82%B9%E3%83%97%E3%83%AC%E3%82%A4;https://reviewne.jp/comic"
"17","work-39d82f0787d47d6a646d","紡ぐ乙女と大正の月","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (紡ぐ乙女と大正の月)","https://tsugimanga.jp/winner/2022/comics","2022","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","자아내는 소녀와 다이쇼의 달 만화 리뷰;츠무구 오토메와 다이쇼의 달 리뷰","https://bookmeter.com/search?keyword=%E7%B4%A1%E3%81%90%E4%B9%99%E5%A5%B3%E3%81%A8%E5%A4%A7%E6%AD%A3%E3%81%AE%E6%9C%88;https://reviewne.jp/comic"
"18","work-3a4997017286df8424e0","球場ラヴァーズ","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (球場ラヴァーズ)","https://www.mangataisho.com/archives/2012.html","2012","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","구장 러버즈 만화 리뷰;구장 러버스 만화 리뷰","https://bookmeter.com/search?keyword=%E7%90%83%E5%A0%B4%E3%83%A9%E3%83%B4%E3%82%A1%E3%83%BC%E3%82%BA;https://reviewne.jp/comic"
"19","work-3a5840cbcd674ef84e3e","にがくてあまい","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (にがくてあまい)","https://www.mangataisho.com/archives/2011.html","2011","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","쓰고 달콤한 만화 리뷰;니가쿠테 아마이 리뷰","https://bookmeter.com/search?keyword=%E3%81%AB%E3%81%8C%E3%81%8F%E3%81%A6%E3%81%82%E3%81%BE%E3%81%84;https://reviewne.jp/comic"
"20","work-3a5be382f1399b15f4fb","弁護士のくず","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (弁護士のくず)","https://www.mangataisho.com/archives/2008.html","2006","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","변호사의 쓰레기 만화 리뷰;벤고시노 쿠즈 리뷰","https://bookmeter.com/search?keyword=%E5%BC%81%E8%AD%B7%E5%A3%AB%E3%81%AE%E3%81%8F%E3%81%9A;https://reviewne.jp/comic"
"21","work-3a5c2d4efe50fc0e21cb","あかね噺","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (あかね噺)","https://tsugimanga.jp/winner/2022/comics","2022","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","아카네바나시 만화 리뷰;아카네 바나시 만화 1권 리뷰","https://bookmeter.com/search?keyword=%E3%81%82%E3%81%8B%E3%81%AD%E5%99%BA;https://reviewne.jp/comic"
"22","work-3d0b058e9dd53c35b8df","ベイビー車中ハッカーズ","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (ベイビー車中ハッカーズ)","https://tsugimanga.jp/winner/2025/comics","2025","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","베이비 차중 해커스 만화 리뷰;베이비 차 안 해커즈 리뷰","https://bookmeter.com/search?keyword=%E3%83%99%E3%82%A4%E3%83%93%E3%83%BC%E8%BB%8A%E4%B8%AD%E3%83%8F%E3%83%83%E3%82%AB%E3%83%BC%E3%82%BA;https://reviewne.jp/comic"
"23","work-3e7b404d33100c796578","午前３時の危険地帯","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (午前３時の危険地帯)","https://www.mangataisho.com/archives/2011.html","2011","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","오전 3시의 위험지대 만화 리뷰;고젠 3시의 위험지대 리뷰","https://bookmeter.com/search?keyword=%E5%8D%88%E5%89%8D%EF%BC%93%E6%99%82%E3%81%AE%E5%8D%B1%E9%99%BA%E5%9C%B0%E5%B8%AF;https://reviewne.jp/comic"
"24","work-3ef22ee69f47872ee65a","お近づきになりたい宮膳さん","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (お近づきになりたい宮膳さん)","https://tsugimanga.jp/winner/2020/comics","2020","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","친해지고 싶은 미야젠 씨 만화 리뷰;오치카즈키니 나리타이 미야젠상 리뷰","https://bookmeter.com/search?keyword=%E3%81%8A%E8%BF%91%E3%81%A5%E3%81%8D%E3%81%AB%E3%81%AA%E3%82%8A%E3%81%9F%E3%81%84%E5%AE%AE%E8%86%B3%E3%81%95%E3%82%93;https://reviewne.jp/comic"
"25","work-3fc9f063116166ca75a2","ぬるめた","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (ぬるめた)","https://tsugimanga.jp/winner/2022/comics","2022","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","누루메타 만화 리뷰;누루메타 1권 리뷰","https://bookmeter.com/search?keyword=%E3%81%AC%E3%82%8B%E3%82%81%E3%81%9F;https://reviewne.jp/comic"
"26","work-40e3fe023da8766aeedb","ヤニねこ","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (ヤニねこ)","https://tsugimanga.jp/winner/2023/comics","2023","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","야니네코 만화 리뷰;담배고양이 만화 리뷰","https://bookmeter.com/search?keyword=%E3%83%A4%E3%83%8B%E3%81%AD%E3%81%93;https://reviewne.jp/comic"
"27","work-41c8f07c2ed444461a1b","日々蝶々","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (日々蝶々)","https://www.mangataisho.com/archives/2013.html","2013","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","나날이 나비 만화 리뷰;히비초초 만화 리뷰","https://bookmeter.com/search?keyword=%E6%97%A5%E3%80%85%E8%9D%B6%E3%80%85;https://reviewne.jp/comic"
"28","work-4402b3de64e66a9a0139","エバタのロック","SOURCE_INFORMATION_UNAVAILABLE","공식 수상/출판사 상품 문구와 Rakuten 대표 1권, 일본 독립 커뮤니티(BookMeter/ReviewNe), 한국어 제목 변형 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 차단한다. Art is optional.","official award archive + Rakuten Books representative-volume product (エバタのロック)","https://www.mangataisho.com/archives/2013.html","2013","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-006\frozen-work-set.csv","에바타의 록 만화 리뷰;에바타 록 만화 리뷰","https://bookmeter.com/search?keyword=%E3%82%A8%E3%83%90%E3%82%BF%E3%81%AE%E3%83%AD%E3%83%83%E3%82%AF;https://reviewne.jp/comic"
