workId,axisId,state,value,confidence,refs,observation,limitation
work-3e725951eb9c49771087,visualSoftness,known,4,0.92,reader-index-09;reader-index-21;reader-index-37,Thin flowing contours polished faces soft screentone and consistently graceful figure treatment match the soft and polished anchor 4.,Evidence ART-B002-C02-13 supports the extreme across all three sampled contexts and is not inferred from demographic genre.
work-3e725951eb9c49771087,motionImpact,unknown,,,reader-index-09;reader-index-21;reader-index-37,The fall and catch appear at an impact moment but the selected refs do not preserve an exact initiating action through a resolved endpoint.,Evidence ART-B002-C02-13 fails only the bounded sequence gate and unknown is not low.
work-40b8c35b1d8c9a90144c,artRealism,unknown,,,reader-step-04;reader-step-14;reader-step-24,No eligible internal-page sample can be established because the Futabasha preview is not officially bridged to the frozen earlier Shueisha edition.,Evidence ART-B002-C02-14 is access-only under an unresolved edition mapping so unknown is terminal for this pass and is not a blocker.
work-40b8c35b1d8c9a90144c,artDensity,unknown,,,reader-step-04;reader-step-14;reader-step-24,No eligible internal-page sample can be established because the Futabasha preview is not officially bridged to the frozen earlier Shueisha edition.,Evidence ART-B002-C02-14 is access-only under an unresolved edition mapping so unknown is terminal for this pass and is not a blocker.
work-40b8c35b1d8c9a90144c,visualSoftness,unknown,,,reader-step-04;reader-step-14;reader-step-24,No eligible internal-page sample can be established because the Futabasha preview is not officially bridged to the frozen earlier Shueisha edition.,Evidence ART-B002-C02-14 is access-only under an unresolved edition mapping so unknown is terminal for this pass and is not a blocker.
work-40b8c35b1d8c9a90144c,motionImpact,unknown,,,reader-step-04;reader-step-14;reader-step-24,No eligible action sequence can be established from a preview whose edition is not officially bridged to the frozen representative edition.,Evidence ART-B002-C02-14 closes unknown without a blocker and no pixel-derived value was assigned.
work-4c784fc78dfd9b139c3f,artRealism,known,1,0.86,reader-step-05;reader-step-12;reader-step-19,Simplified anatomy frequent chibi transformations and highly elastic expressions dominate while normally proportioned dialogue figures keep the sample above strong-deformation anchor 0.,Evidence ART-B002-C02-15 spans six volume-one pages across classroom home and later school contexts.
work-4c784fc78dfd9b139c3f,artDensity,known,1,0.88,reader-step-05;reader-step-12;reader-step-19,Broad white fields and omitted environments dominate while panel rhythm and occasional classroom furniture keep the sample above sparse anchor 0.,Evidence ART-B002-C02-15 lies between sparse 0 and balanced 2 across all three contexts and excludes lettering as density.
work-4c784fc78dfd9b139c3f,visualSoftness,known,4,0.92,reader-step-05;reader-step-12;reader-step-19,Rounded figures smooth clean contours light rendering and polished expressive faces repeatedly match the soft anchor 4.,Evidence ART-B002-C02-15 supports the extreme across all three sampled contexts rather than from one close-up.
work-4c784fc78dfd9b139c3f,motionImpact,unknown,,,reader-step-05;reader-step-12;reader-step-19,Running and comic gestures appear without one exact continuous sequence whose start development and endpoint are all preserved.,Evidence ART-B002-C02-15 fails only the exact sequence gate and unknown is not a low motion value.
work-518d7ed42dd9253679c3,artRealism,known,4,0.94,reader-step-06;reader-step-10;reader-step-14,Anatomically grounded figures musculature armor terrain fortress structure and stable spatial perspective repeatedly match the realistic anchor 4 despite deliberately caricatured supporting faces.,Evidence ART-B002-C02-16 spans six digital volume-one pages across army march water demonstration and fortress arrival contexts.
work-518d7ed42dd9253679c3,artDensity,known,4,0.96,reader-step-06;reader-step-10;reader-step-14,Dense crosshatching terrain massed soldiers patterned clothing architecture and surface texture sustain high line and information density throughout.,Evidence ART-B002-C02-16 supports extreme anchor 4 in every sampled context but remains limited to the selected pages.
work-518d7ed42dd9253679c3,visualSoftness,known,0,0.95,reader-step-06;reader-step-10;reader-step-14,Coarse crosshatching hard angular contours deep black masses and visibly rough surfaces repeatedly match anchor 0.,Evidence ART-B002-C02-16 supports the extreme from persistent line texture rather than the historical conflict subject.
work-518d7ed42dd9253679c3,motionImpact,unknown,,,reader-step-06;reader-step-10;reader-step-14,Thrown objects and reaction panels are present but no single selected ref preserves an exact continuous start-development-impact-end sequence.,Evidence ART-B002-C02-16 fails only the motion sequence gate and unknown is not low.
work-53e54c95f637b66c4fb2,artRealism,known,2,0.88,reader-step-06;reader-step-12;reader-step-18,Recognizable adult and child anatomy plus credible field and station perspective coexist with classic facial caricature which supports ordinary stylization anchor 2.,Evidence ART-B002-C02-17 spans six digital volume-one pages across roadside conflict field chase and station contexts.
work-53e54c95f637b66c4fb2,artDensity,known,3,0.91,reader-step-06;reader-step-12;reader-step-18,Frequent panels layered figures field or station settings and extensive motion lines exceed balanced density while some open action fields keep the sample below anchor 4.,Evidence ART-B002-C02-17 lies between anchors 2 and 4 across three contexts and does not count lettering alone.
work-53e54c95f637b66c4fb2,visualSoftness,known,1,0.89,reader-step-06;reader-step-12;reader-step-18,Bold angular action contours and dry hatching lean rough while rounded child faces and clean domestic figures keep the sample above anchor 0.,Evidence ART-B002-C02-17 is the observed midpoint between rough 0 and neutral 2 across the selected pages.
work-53e54c95f637b66c4fb2,motionImpact,unknown,,,reader-step-06;reader-step-12;reader-step-18,The field chase contains energetic isolated beats but the preserved refs do not identify one exact sequence start through a resolved impact endpoint.,Evidence ART-B002-C02-17 fails the exact reference gate and unknown is not a low motion score.
work-5915d6d7601377fcc75f,artRealism,known,2,0.88,reader-index-09;reader-index-21;reader-index-37,Proportionate figures and credible forest or architectural space coexist with idealized faces and simplified expressive reactions which supports ordinary stylization anchor 2.,Evidence ART-B002-C02-18 spans six volume-one pages across journey encounter conversation and confrontation contexts.
work-5915d6d7601377fcc75f,artDensity,known,2,0.87,reader-index-09;reader-index-21;reader-index-37,Rendered foliage buildings clothing and props are balanced with open portrait and dialogue panels which matches anchor 2.,Evidence ART-B002-C02-18 covers three contexts and does not extend beyond the selected entry pages.
work-5915d6d7601377fcc75f,visualSoftness,known,4,0.92,reader-index-09;reader-index-21;reader-index-37,Thin controlled contours flowing hair gentle facial construction and soft screentone repeatedly match the polished anchor 4.,Evidence ART-B002-C02-18 supports the extreme across all three sampled contexts rather than from the demographic label.
work-5915d6d7601377fcc75f,motionImpact,unknown,,,reader-index-09;reader-index-21;reader-index-37,The hair cut is shown as an isolated decisive moment without a preserved continuous initiation development and endpoint sequence.,Evidence ART-B002-C02-18 fails only the exact sequence gate and unknown is not restrained motion.
work-5b4dc4e6e966436b2990,artRealism,known,2,0.88,reader-index-09;reader-index-21;reader-index-37,Normally proportioned figures and recognizable domestic or workplace space coexist with expressive deformation and idealized faces which supports ordinary stylization anchor 2.,Evidence ART-B002-C02-19 spans six volume-one pages across domestic child and workplace contexts.
work-5b4dc4e6e966436b2990,artDensity,known,1,0.84,reader-index-09;reader-index-21;reader-index-37,Large white fields omitted environments and an open episode-title page dominate while occasional interior and street detail keep the sample above sparse anchor 0.,Evidence ART-B002-C02-19 lies between anchors 0 and 2 across all three contexts and excludes text itself as visual density.
work-5b4dc4e6e966436b2990,visualSoftness,known,3,0.88,reader-index-09;reader-index-21;reader-index-37,Delicate controlled contours and gentle faces lean polished while firm comic impact marks and plain angular adult forms keep the complete sample below soft anchor 4.,Evidence ART-B002-C02-19 places the three-context sample between neutral 2 and soft 4 rather than extrapolating from one portrait.
work-5b4dc4e6e966436b2990,motionImpact,unknown,,,reader-index-09;reader-index-21;reader-index-37,Comic reactions and walking poses appear without an exact bounded continuous action start development and endpoint.,Evidence ART-B002-C02-19 fails only the sequence gate and unknown is not a low value.
work-5b9a3ec60ac5fc90f444,artRealism,known,2,0.88,reader-step-05;reader-step-10;reader-step-15,Proportionate human figures and credible rooms coexist with stylized faces and fantastical creature anatomy which supports ordinary stylization anchor 2.,Evidence ART-B002-C02-20 spans six official bridged volume-one pages across auction fairy-bath and bedroom contexts.
work-5b9a3ec60ac5fc90f444,artDensity,known,3,0.90,reader-step-05;reader-step-10;reader-step-15,Layered panels creature detail hair texture dense black fields and furnished interiors exceed balanced density while open face panels keep the sample below anchor 4.,Evidence ART-B002-C02-20 places the complete three-context sample between anchors 2 and 4 without treating black margins as page detail.
work-5b9a3ec60ac5fc90f444,visualSoftness,known,3,0.89,reader-step-05;reader-step-10;reader-step-15,Flowing hair feathers water and clean facial contours lean polished while coarse texture skull edges and deep black fields keep the complete sample below soft anchor 4.,Evidence ART-B002-C02-20 places the three-context sample between neutral 2 and soft 4 and does not infer style from fantasy subject matter.
work-5b9a3ec60ac5fc90f444,motionImpact,unknown,,,reader-step-05;reader-step-10;reader-step-15,Small gestures and fairy movement appear without one exact preserved action from start through development to an endpoint.,Evidence ART-B002-C02-20 fails only the exact sequence gate and unknown is not low.
